,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
402,yo no entiendo que significa esta frase,mi hermanito es de berrinches,pelota suave algunos pelos son suaves,corazón fuerte,seco brillante,que son dientes muy blancos,tierna,fría,se olvido la noche,llegara tiempo para mejorar,estrellas de vidrio,si es posible porque se pueden hacer estrellas de cristal,vestidos hechos de tela,la tela es un poco gruesa para vestidos pero si es posible,que son hechos de miel,la miel no es un material para hacer zapatos,estatua,es posible porque hay muchas estatuas hechas de piedra,alma fuerte,es un decir para dar a entender que es fuerte,banqueta segura,las banquetas son seguras porque no pasan coches,tengo silla,las sillas no pueden caminar,los que hacen ejercicio corren,todas las personas corremos no importa que seamos,el tiempo se acaba,hay tiempo para todo y el tiempo se acaba
403,no porque las pelotas no cantan,que su hermano grita mucho,animal porque los animales tienen pelos,que la pelota vale mucho,su cabello es largo y suave,que los dientes son blancos,su hermana es cariñosa y tierna,su sonrisa es linda,ocurrió cosas para olvidar,que pasaran cosas mejores,estrellas que son cristales,porque no existen no puede haber estrellas de cristal aun,vestidos que están hechos de tela,porque si existen hay personas que pueden coser vestidos de tela,zapatos que están hechos de miel,porque no existe ya que si los usáramos serian pegajosos y no hay personas que los usen,obra de arte de piedra,porque si existen personas que construyen esculturas de piedra,que una persona no tiene sentimientos,porque no existe una persona que tenga alma de hierro,que la banqueta esta caliente,porque no existen banquetas abrigadoras,que una entrega ya llego,porque si existen personas que entregan algo,que una persona corre,porque si existen personas que corren y atletas,que todavía hay tiempo,porque existe el tiempo
404,no porque no rima,que su hermano grita mucho,un perro porque el perro tiene muchos pelos,que es una estatua,de zacate,blancos y muy brillantes,tierna y muy amable,de hielo y sin moverse,que ya paso la noche,que vendrán tiempos mas divertidos,que son muy brillantes,porque pienso que como las estrellas son blancas pueden llegar a ser de cristal,que son fáciles de hacer,porque es la mas común de vestido porque es muy fácil con la tela,que son muy resistentes,porque es una forma de que los zapatos sean mas resistentes,un arte hecho a mano,porque antes y ahora se sigue haciendo este arte,significa que eres muy valiente,porque puede existir un alma tan valiente,significa que es para que no tengas frio,porque no ha existido una banqueta caliente solo camas,significa que te llego a tu casa una silla,porque puedes comprar el producto y que te lo entreguen,que es una carrera de atletas,porque puede haber carreras de atletas,que poco a poco vas creciendo,porque el tiempo va avanzando y vas creciendo
405,no porque las pelotas no cantan,mi hermano brinca mucho y llora de a gritos,una bolsa porque hay bolsas que son muy padres o tienen muchos pelos,una pelota muy bella o valiosa,muy largo,muy blancos y bellos,muy buena,tan bella que te quedas inmóvil,la noche se acabo y ya es de día,que ahora no son buenos tiempos y ya va a haber un mejor tiempo,estrellas de adorno de vidrio,porque si hay estrellas de cristal,vestidos muy grandes con mucha tela,porque esto no es una metáfora,zapatos que son muy suaves,porque es una metáfora y puede ser zapatos suaves,estatua de piedra,es posible porque hay esculturas de vidrio piedra cemento etc,persona muy cruel,porque puede ser que es una persona mala,banqueta que es muy caliente,le cala el sol por eso esta caliente,una silla que encargaron ya la trajeron,porque pueden haber comprado una silla y la pudieron haber traído,que hay personas rápidas,es como un ejercicio y por eso corren rápido,el tiempo pasa rápido,porque hay veces que no te das cuenta de la hora que es y se te hace tarde
406,si porque es un poema y tiene palabras mezcladas con otras frases,que grita mucho,perro porque puede tirar pelos por todos lados,que es un objeto o alguna otra cosa de plata,es como un cabello que pica y largo,como dientes muy brillosos y limpios,una persona amable y tierna,que tiene una sonrisa que nunca quita,que lo que paso es tiempo pasado,que en estos tiempos va mal pero en los demás le ira mejor,que no puede haber,porque es una estrella complicada,puede haber en tiendas de ropa,porque las que hacen vestidos se llevarían tiempo haciendo uno tela,que no hay zapatos de miel,porque la miel es como un dulce que es pegajoso,que si puede haber pero en pocas partes,porque los que hacen ese tipo de cosas llevan tiempo haciendo una,que no existe,porque es fantasía,que no hay,porque es una banqueta,si hay,podría ser una frase,si corren,porque son atletas y hacen ejercicio,si hay,porque también podría ser una frase
407,no porque las pelotas no cantan,es como si su pelota hace mucho ruido por eso dice es una pelota de gritos,porque el perro puede tirar pelotas,la pelota es brillante como la plata,es como si su cabello esta muy espinoso o muy alborotado,que sus dientes son muy brillantes,que es muy dulce como buena gente,que su sonrisa es muy brillante,que la noche se convirtió en sol,que el tiempo puede ser mejor,que las estrellas son frágiles,porque las estrellas de cristal es una forma de decir que son muy frágiles,que el vestido esta hecho de tela,porque si es un vestido esta hecho de tela y no es posible que sea no,no hay zapatos dulces como la miel,porque la miel es como dulce y los zapatos no son dulces,que esta duro como una piedra,porque si es que las estatuas son de piedra,que su alma esta como congelada,porque es una forma de decir que estas congelado,que la banqueta no esta abrigada,porque la banqueta no tiene para abrigarse,si hay,porque hay personas quien la llevan,no hay pasto que corren,porque el pasto es como una at y no puede correr,si porque el tiempo se pasa rápido,porque el tiempo te alcanza cuando menos te lo esperas
408,no porque el sentimiento es de alegría,porque mi hermanito es gordo de muchos gritos,saltar gritar etc,que la pelota era de plata porque tenia oro,de zacate,0,es muy dulce,es de hielo,todo quedo atrás,pase lo que pase hay cosas mejores,no porque el cielo cae,no porque se caería el cielo,si porque hacen artesanos,si porque a veces hacen los artesanos para vender,que no puede haber,no pueden haber porque se cae toda la miel,que si puede haber pero en pocas partes,porque están muchos hechos por artesanos,alma de hierro,porque no hay personas hechas de hierro,banqueta abrigadora,porque no hay banqueta que cubra el frio,la silla ya llego,porque si hay sillas que están,los atletas corren,porque pueden correr saltar etc,el tiempo alcanza,porque es el tiempo que nos queda de vida
409,si porque la pelota cada que rebota suena,que su hermano siempre esta gritando y saltando,una bola de pelusa,como alguien muy importante,no lo se que es zacate,muy blancos y brillantes,muy cariñosa amable y alegre,como una sonrisa que siempre se queda ahí,desapareció y apareció el día,que lo malo ya paso y vendrán mejores cosas,como unas estrellas que brilla mucho,yo creo que no porque,como eses vestido tan bonito de tela,pues porque la mayoría de los vestidos son de tela,sus zapatos tan brillantes color miel,porque creo que no es posible caminar con zapatos de miel,pues es una escultura que hacen con piedra,pues porque yo las he visto alguna vez en la calle,como una persona que no tiene sentimientos,pues porque si puede haber personas que no sienten nada emocionalmente,no veo mucho sentido,0,que llego la silla,porque como yo lo entendí pues no pueden caminar las sillas,los atletas son muy rápidos,pues porque eso hacen los atletas correr,para todo alcanza el tiempo,porque dice que el tiempo alcanza yo creo dice que para todo alcanza el tiempo
410,no porque las pelotas no cantan,que su hermano grita mucho,yo porque alegro el día a mis amigos,que es muy especial,grueso,blancos y hermosos,tierna y linda,fría y blanca,se olvido y es cosa del pasado,que no debemos preocuparnos y a veces es necesario tener días malos,que las estrellas son frágiles y hermosas,porque ademas es sentido figurado no he tocado ninguna,que los vestidos están hechos de tela,porque los vestidos la mayoría son de tela,que los zapatos son cómodos y bonitos,porque es sentido figurado,se esculpe la piedra de forma que sea escultura,hay diferentes tipos de esculturas y entre esas esta la de piedra,que el alma es fría,ademas de que es una novela esta en lenguaje figurado,que la banqueta puede servir de hogar,porque hay mucha gente en la calle,puede ser un apodo,las sillas no caminan y aunque es lenguaje figurado no le hallo sentido,que hay personas que corren,porque es posible,que el tiempo es suficiente,porque son 24 horas y se pueden hacer muchas cosas 
411,no porque las pelotas no cantan,quiere decir que su hermanito grita mucho en casa,un gato porque tiene pelo,mi respuesta en la frase puede ser que es una pelota valiosa,las nubes son blancas esponjosas y de formas diferentes suaves,la piel es suave y lisa,la mirada ardiente puede ser como cuando alguien te mira enojado,los ojos amargos puede ser cuando alguien esta triste,el verano es cuando empieza a dar calor y a florecer las flores,cuando todas las personas ponen su árbol de navidad,sus piernas son de metal,no es posible porque las personas no tiene piernas de acero o metal,el sobre es de papel,si es posible porque si se puede hacer un sobre para cartas,calendario de pasto o hierba,no puede hacerse un calendario de pasto o hierba,cuando esta caliente el carbón,si es posible cuando este ardiente cuando hacen alguna cosa,cuando se amargan los ojos,no es posible que unos ojos se pueden hacer amargos,la calceta es de plata,no puede ser posible que una calceta sea de plata,cuando ya crecieron las cebollas,si es posible porque es cuando plantan cebolla y crecen,cuando empiezan a volar,si puede ser posible porque cuando ponen huevo y nacen aprenden a volar,cuando se hace de noche,si puede ser posible porque se hace de noche todos los días
412,si porque la pelota puede cantar,que a su hermano le gustan los gritos,el hilo porque es como un cabello,un botón de plata,blancas como el algodón suave sin fondo,suave carnosa y delicada,la mirada es tensa,redondos grandes y de color,hace calor y viento y las hojas de los arboles florecen,que cae nieve estas con la familia y hay regalos,que puede estar fuerte,si porque puedes hacer ejercicio,poner algo sobre el papel,si porque se puede poner,es una esponja,no puede hacerse porque si no no podría,que es carbón prendido,porque tu lo puedes hacer,ojos que no quieren ver nada,si porque puede ser una persona que no le gusta ver a los demás,que es una calceta de plata,no porque estaría pesada,que una cebolla llega,que la cebolla llega a su destino,que vuelan las gaviotas,que las gaviotas llegan,que la noche llega para dormir,si que la noche ha llegado para dormir
413,no porque las pelotas no hablan,que su hermano grita mucho,un perro porque un perro puede ser gordo y tiene mucho pelo,persona importante,pelo esponjado,dientes blancos,hermana agradable,sarcástica,que ya es de día,que los anos van a mejorar,que una estrella es como un cristal,porque las estrellas brilla como un cristal,que los vestidos son suaves,porque algunos vestidos son de tela fina,0,porque no pueden existir,una escultura dura,porque puede ser una persona quieta y dura,alma dura,porque una persona no puede tener alma dura no,banqueta caliente,porque las banquetas no abrigan no,que un paquete ya llego,porque un paquete ya llego,que corren muy rápido,porque los atletas los entrenan muy bien,que el tiempo avanza muy rápido,porque una persona se le pasa rápido el tiempo
